"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","User Creation","5","0","User Registration","0"
"0","","0","Order Creation","6","0","Burger Order Management","0"
"0","","0","User Login","4","0","User Authentication","0"
